name,location,type,rank,rating,feesPerYear,description,website,phone,email,established,courses
Shivamogga PU College 238,Shivamogga,PU,147,3.5,281638,"PU college in Shivamogga, Karnataka",https://shivamoggapucollege238.edu.in,,info@shivamoggapucollege238.edu.in,2018,PUC Science|Commerce|Arts
Tumakuru Medical College 239,Tumakuru,Medical,82,4.6,81438,"Medical college in Tumakuru, Karnataka",https://tumakurumedicalcollege239.edu.in,,info@tumakurumedicalcollege239.edu.in,1973,MBBS|MD|MS|BDS
Shivamogga Engineering College 240,Shivamogga,Engineering,82,3.8,559710,"Engineering college in Shivamogga, Karnataka",https://shivamoggaengineeringcollege240.edu.in,,info@shivamoggaengineeringcollege240.edu.in,1976,CSE|ECE|ME|Civil|AI|DS
Bengaluru Rural Degree College 241,Bengaluru Rural,Degree,178,4.1,224656,"Degree college in Bengaluru Rural, Karnataka",https://bengalurururaldegreecollege241.edu.in,,info@bengalurururaldegreecollege241.edu.in,1988,BA|BSc|BCom|BBA|BCA
Mysuru PU College 242,Mysuru,PU,251,4.0,635359,"PU college in Mysuru, Karnataka",https://mysurupucollege242.edu.in,,info@mysurupucollege242.edu.in,1983,PUC Science|Commerce|Arts
Chitradurga Degree College 243,Chitradurga,Degree,45,4.7,1334905,"Degree college in Chitradurga, Karnataka",https://chitradurgadegreecollege243.edu.in,,info@chitradurgadegreecollege243.edu.in,1971,BA|BSc|BCom|BBA|BCA
Chikkamagaluru Degree College 244,Chikkamagaluru,Degree,138,4.7,727182,"Degree college in Chikkamagaluru, Karnataka",https://chikkamagalurudegreecollege244.edu.in,,info@chikkamagalurudegreecollege244.edu.in,2006,BA|BSc|BCom|BBA|BCA
Bengaluru Rural PU College 245,Bengaluru Rural,PU,245,4.0,1423176,"PU college in Bengaluru Rural, Karnataka",https://bengalurururalpucollege245.edu.in,,info@bengalurururalpucollege245.edu.in,1963,PUC Science|Commerce|Arts
Bengaluru Urban Degree College 246,Bengaluru Urban,Degree,276,4.7,189718,"Degree college in Bengaluru Urban, Karnataka",https://bengaluruurbandegreecollege246.edu.in,,info@bengaluruurbandegreecollege246.edu.in,1996,BA|BSc|BCom|BBA|BCA
Raichur Engineering College 247,Raichur,Engineering,195,4.0,554209,"Engineering college in Raichur, Karnataka",https://raichurengineeringcollege247.edu.in,,info@raichurengineeringcollege247.edu.in,1974,CSE|ECE|ME|Civil|AI|DS
Raichur PU College 248,Raichur,PU,33,3.8,516355,"PU college in Raichur, Karnataka",https://raichurpucollege248.edu.in,,info@raichurpucollege248.edu.in,1975,PUC Science|Commerce|Arts
Ballari PU College 249,Ballari,PU,473,3.8,1345116,"PU college in Ballari, Karnataka",https://ballaripucollege249.edu.in,,info@ballaripucollege249.edu.in,1954,PUC Science|Commerce|Arts
Tumakuru PU College 250,Tumakuru,PU,245,3.9,1284782,"PU college in Tumakuru, Karnataka",https://tumakurupucollege250.edu.in,,info@tumakurupucollege250.edu.in,1991,PUC Science|Commerce|Arts
Dharwad PU College 251,Dharwad,PU,357,4.9,744469,"PU college in Dharwad, Karnataka",https://dharwadpucollege251.edu.in,,info@dharwadpucollege251.edu.in,1973,PUC Science|Commerce|Arts
Koppal PU College 252,Koppal,PU,385,4.4,367845,"PU college in Koppal, Karnataka",https://koppalpucollege252.edu.in,,info@koppalpucollege252.edu.in,1964,PUC Science|Commerce|Arts
Kalaburagi Medical College 253,Kalaburagi,Medical,209,4.0,747750,"Medical college in Kalaburagi, Karnataka",https://kalaburagimedicalcollege253.edu.in,,info@kalaburagimedicalcollege253.edu.in,1986,MBBS|MD|MS|BDS
Tumakuru Medical College 254,Tumakuru,Medical,324,3.6,692618,"Medical college in Tumakuru, Karnataka",https://tumakurumedicalcollege254.edu.in,,info@tumakurumedicalcollege254.edu.in,1979,MBBS|MD|MS|BDS
Hassan Engineering College 255,Hassan,Engineering,182,3.7,910011,"Engineering college in Hassan, Karnataka",https://hassanengineeringcollege255.edu.in,,info@hassanengineeringcollege255.edu.in,1973,CSE|ECE|ME|Civil|AI|DS
Belagavi Medical College 256,Belagavi,Medical,451,4.4,987359,"Medical college in Belagavi, Karnataka",https://belagavimedicalcollege256.edu.in,,info@belagavimedicalcollege256.edu.in,2016,MBBS|MD|MS|BDS
Udupi Degree College 257,Udupi,Degree,213,3.9,781982,"Degree college in Udupi, Karnataka",https://udupidegreecollege257.edu.in,,info@udupidegreecollege257.edu.in,2019,BA|BSc|BCom|BBA|BCA
Hassan Engineering College 258,Hassan,Engineering,327,3.7,422515,"Engineering college in Hassan, Karnataka",https://hassanengineeringcollege258.edu.in,,info@hassanengineeringcollege258.edu.in,1951,CSE|ECE|ME|Civil|AI|DS
Dharwad Engineering College 259,Dharwad,Engineering,362,4.7,1484843,"Engineering college in Dharwad, Karnataka",https://dharwadengineeringcollege259.edu.in,,info@dharwadengineeringcollege259.edu.in,2006,CSE|ECE|ME|Civil|AI|DS
Dakshina Kannada Medical College 260,Dakshina Kannada,Medical,247,3.9,720699,"Medical college in Dakshina Kannada, Karnataka",https://dakshinakannadamedicalcollege260.edu.in,,info@dakshinakannadamedicalcollege260.edu.in,1987,MBBS|MD|MS|BDS
Mysuru Medical College 261,Mysuru,Medical,495,3.7,1107617,"Medical college in Mysuru, Karnataka",https://mysurumedicalcollege261.edu.in,,info@mysurumedicalcollege261.edu.in,2021,MBBS|MD|MS|BDS
Bengaluru Urban Degree College 262,Bengaluru Urban,Degree,234,4.7,379330,"Degree college in Bengaluru Urban, Karnataka",https://bengaluruurbandegreecollege262.edu.in,,info@bengaluruurbandegreecollege262.edu.in,2003,BA|BSc|BCom|BBA|BCA
Tumakuru Degree College 263,Tumakuru,Degree,98,4.3,809171,"Degree college in Tumakuru, Karnataka",https://tumakurudegreecollege263.edu.in,,info@tumakurudegreecollege263.edu.in,2022,BA|BSc|BCom|BBA|BCA
Ballari Engineering College 264,Ballari,Engineering,408,4.7,1281097,"Engineering college in Ballari, Karnataka",https://ballariengineeringcollege264.edu.in,,info@ballariengineeringcollege264.edu.in,1988,CSE|ECE|ME|Civil|AI|DS
Chitradurga PU College 265,Chitradurga,PU,423,4.7,894390,"PU college in Chitradurga, Karnataka",https://chitradurgapucollege265.edu.in,,info@chitradurgapucollege265.edu.in,2000,PUC Science|Commerce|Arts
Tumakuru Degree College 266,Tumakuru,Degree,117,3.6,1118534,"Degree college in Tumakuru, Karnataka",https://tumakurudegreecollege266.edu.in,,info@tumakurudegreecollege266.edu.in,1977,BA|BSc|BCom|BBA|BCA
Raichur Medical College 267,Raichur,Medical,162,4.4,898142,"Medical college in Raichur, Karnataka",https://raichurmedicalcollege267.edu.in,,info@raichurmedicalcollege267.edu.in,2002,MBBS|MD|MS|BDS
Hassan Degree College 268,Hassan,Degree,223,4.8,344579,"Degree college in Hassan, Karnataka",https://hassandegreecollege268.edu.in,,info@hassandegreecollege268.edu.in,2021,BA|BSc|BCom|BBA|BCA
Udupi PU College 269,Udupi,PU,348,4.1,1486424,"PU college in Udupi, Karnataka",https://udupipucollege269.edu.in,,info@udupipucollege269.edu.in,1992,PUC Science|Commerce|Arts
Dharwad Medical College 270,Dharwad,Medical,482,3.7,942786,"Medical college in Dharwad, Karnataka",https://dharwadmedicalcollege270.edu.in,,info@dharwadmedicalcollege270.edu.in,2021,MBBS|MD|MS|BDS
Raichur Engineering College 271,Raichur,Engineering,312,4.7,1361818,"Engineering college in Raichur, Karnataka",https://raichurengineeringcollege271.edu.in,,info@raichurengineeringcollege271.edu.in,1970,CSE|ECE|ME|Civil|AI|DS
Belagavi Engineering College 272,Belagavi,Engineering,60,3.8,672704,"Engineering college in Belagavi, Karnataka",https://belagaviengineeringcollege272.edu.in,,info@belagaviengineeringcollege272.edu.in,2003,CSE|ECE|ME|Civil|AI|DS
Kalaburagi PU College 273,Kalaburagi,PU,435,3.7,514392,"PU college in Kalaburagi, Karnataka",https://kalaburagipucollege273.edu.in,,info@kalaburagipucollege273.edu.in,2001,PUC Science|Commerce|Arts
Udupi Medical College 274,Udupi,Medical,449,4.4,893427,"Medical college in Udupi, Karnataka",https://udupimedicalcollege274.edu.in,,info@udupimedicalcollege274.edu.in,2015,MBBS|MD|MS|BDS
Bidar Engineering College 275,Bidar,Engineering,340,3.6,631543,"Engineering college in Bidar, Karnataka",https://bidarengineeringcollege275.edu.in,,info@bidarengineeringcollege275.edu.in,2003,CSE|ECE|ME|Civil|AI|DS
Mysuru PU College 276,Mysuru,PU,470,4.4,1361036,"PU college in Mysuru, Karnataka",https://mysurupucollege276.edu.in,,info@mysurupucollege276.edu.in,1966,PUC Science|Commerce|Arts
Dakshina Kannada Medical College 277,Dakshina Kannada,Medical,39,4.4,236248,"Medical college in Dakshina Kannada, Karnataka",https://dakshinakannadamedicalcollege277.edu.in,,info@dakshinakannadamedicalcollege277.edu.in,1955,MBBS|MD|MS|BDS
Belagavi Medical College 278,Belagavi,Medical,429,4.6,563936,"Medical college in Belagavi, Karnataka",https://belagavimedicalcollege278.edu.in,,info@belagavimedicalcollege278.edu.in,2007,MBBS|MD|MS|BDS
Mysuru Medical College 279,Mysuru,Medical,1,4.2,1433904,"Medical college in Mysuru, Karnataka",https://mysurumedicalcollege279.edu.in,,info@mysurumedicalcollege279.edu.in,1992,MBBS|MD|MS|BDS
Raichur Degree College 280,Raichur,Degree,322,4.3,985283,"Degree college in Raichur, Karnataka",https://raichurdegreecollege280.edu.in,,info@raichurdegreecollege280.edu.in,1972,BA|BSc|BCom|BBA|BCA
Dharwad Degree College 281,Dharwad,Degree,406,4.0,394533,"Degree college in Dharwad, Karnataka",https://dharwaddegreecollege281.edu.in,,info@dharwaddegreecollege281.edu.in,2016,BA|BSc|BCom|BBA|BCA
Chikkamagaluru PU College 282,Chikkamagaluru,PU,296,4.1,1084700,"PU college in Chikkamagaluru, Karnataka",https://chikkamagalurupucollege282.edu.in,,info@chikkamagalurupucollege282.edu.in,1977,PUC Science|Commerce|Arts
Bengaluru Urban PU College 283,Bengaluru Urban,PU,206,4.4,1374154,"PU college in Bengaluru Urban, Karnataka",https://bengaluruurbanpucollege283.edu.in,,info@bengaluruurbanpucollege283.edu.in,1969,PUC Science|Commerce|Arts
Chikkamagaluru Engineering College 284,Chikkamagaluru,Engineering,421,4.4,837497,"Engineering college in Chikkamagaluru, Karnataka",https://chikkamagaluruengineeringcollege284.edu.in,,info@chikkamagaluruengineeringcollege284.edu.in,1951,CSE|ECE|ME|Civil|AI|DS
Davangere Degree College 285,Davangere,Degree,256,4.7,569671,"Degree college in Davangere, Karnataka",https://davangeredegreecollege285.edu.in,,info@davangeredegreecollege285.edu.in,1965,BA|BSc|BCom|BBA|BCA
Dharwad PU College 286,Dharwad,PU,85,3.7,1466188,"PU college in Dharwad, Karnataka",https://dharwadpucollege286.edu.in,,info@dharwadpucollege286.edu.in,1987,PUC Science|Commerce|Arts
Kalaburagi Degree College 287,Kalaburagi,Degree,387,4.9,518751,"Degree college in Kalaburagi, Karnataka",https://kalaburagidegreecollege287.edu.in,,info@kalaburagidegreecollege287.edu.in,2010,BA|BSc|BCom|BBA|BCA
Shivamogga Medical College 288,Shivamogga,Medical,175,4.8,232330,"Medical college in Shivamogga, Karnataka",https://shivamoggamedicalcollege288.edu.in,,info@shivamoggamedicalcollege288.edu.in,1986,MBBS|MD|MS|BDS
Chikkamagaluru Medical College 289,Chikkamagaluru,Medical,290,4.8,822002,"Medical college in Chikkamagaluru, Karnataka",https://chikkamagalurumedicalcollege289.edu.in,,info@chikkamagalurumedicalcollege289.edu.in,1954,MBBS|MD|MS|BDS
Dakshina Kannada Engineering College 290,Dakshina Kannada,Engineering,323,3.7,99796,"Engineering college in Dakshina Kannada, Karnataka",https://dakshinakannadaengineeringcollege290.edu.in,,info@dakshinakannadaengineeringcollege290.edu.in,2012,CSE|ECE|ME|Civil|AI|DS
Shivamogga Engineering College 291,Shivamogga,Engineering,212,4.8,1371343,"Engineering college in Shivamogga, Karnataka",https://shivamoggaengineeringcollege291.edu.in,,info@shivamoggaengineeringcollege291.edu.in,1967,CSE|ECE|ME|Civil|AI|DS
Dakshina Kannada PU College 292,Dakshina Kannada,PU,177,3.7,1359244,"PU college in Dakshina Kannada, Karnataka",https://dakshinakannadapucollege292.edu.in,,info@dakshinakannadapucollege292.edu.in,2020,PUC Science|Commerce|Arts
Bidar Medical College 293,Bidar,Medical,279,4.6,1002639,"Medical college in Bidar, Karnataka",https://bidarmedicalcollege293.edu.in,,info@bidarmedicalcollege293.edu.in,1981,MBBS|MD|MS|BDS
Dakshina Kannada Degree College 294,Dakshina Kannada,Degree,377,3.8,1214361,"Degree college in Dakshina Kannada, Karnataka",https://dakshinakannadadegreecollege294.edu.in,,info@dakshinakannadadegreecollege294.edu.in,1953,BA|BSc|BCom|BBA|BCA
Bengaluru Urban Degree College 295,Bengaluru Urban,Degree,170,3.6,798279,"Degree college in Bengaluru Urban, Karnataka",https://bengaluruurbandegreecollege295.edu.in,,info@bengaluruurbandegreecollege295.edu.in,1973,BA|BSc|BCom|BBA|BCA
Kalaburagi Medical College 296,Kalaburagi,Medical,184,3.5,40727,"Medical college in Kalaburagi, Karnataka",https://kalaburagimedicalcollege296.edu.in,,info@kalaburagimedicalcollege296.edu.in,1993,MBBS|MD|MS|BDS
Koppal Degree College 297,Koppal,Degree,497,4.2,1382651,"Degree college in Koppal, Karnataka",https://koppaldegreecollege297.edu.in,,info@koppaldegreecollege297.edu.in,1960,BA|BSc|BCom|BBA|BCA
Mysuru PU College 298,Mysuru,PU,428,3.7,315590,"PU college in Mysuru, Karnataka",https://mysurupucollege298.edu.in,,info@mysurupucollege298.edu.in,2021,PUC Science|Commerce|Arts
Koppal Medical College 299,Koppal,Medical,167,4.8,1338592,"Medical college in Koppal, Karnataka",https://koppalmedicalcollege299.edu.in,,info@koppalmedicalcollege299.edu.in,1969,MBBS|MD|MS|BDS
Dharwad Degree College 300,Dharwad,Degree,167,3.6,1489236,"Degree college in Dharwad, Karnataka",https://dharwaddegreecollege300.edu.in,,info@dharwaddegreecollege300.edu.in,2018,BA|BSc|BCom|BBA|BCA
Belagavi Engineering College 301,Belagavi,Engineering,142,3.6,594712,"Engineering college in Belagavi, Karnataka",https://belagaviengineeringcollege301.edu.in,,info@belagaviengineeringcollege301.edu.in,2011,CSE|ECE|ME|Civil|AI|DS
Bengaluru Urban PU College 302,Bengaluru Urban,PU,172,3.8,1047732,"PU college in Bengaluru Urban, Karnataka",https://bengaluruurbanpucollege302.edu.in,,info@bengaluruurbanpucollege302.edu.in,1991,PUC Science|Commerce|Arts
Davangere Degree College 303,Davangere,Degree,6,3.9,261658,"Degree college in Davangere, Karnataka",https://davangeredegreecollege303.edu.in,,info@davangeredegreecollege303.edu.in,1966,BA|BSc|BCom|BBA|BCA
Mysuru PU College 304,Mysuru,PU,314,4.3,340429,"PU college in Mysuru, Karnataka",https://mysurupucollege304.edu.in,,info@mysurupucollege304.edu.in,1955,PUC Science|Commerce|Arts
Ballari Engineering College 305,Ballari,Engineering,303,4.8,319281,"Engineering college in Ballari, Karnataka",https://ballariengineeringcollege305.edu.in,,info@ballariengineeringcollege305.edu.in,1968,CSE|ECE|ME|Civil|AI|DS
Mysuru Medical College 306,Mysuru,Medical,193,4.1,1323559,"Medical college in Mysuru, Karnataka",https://mysurumedicalcollege306.edu.in,,info@mysurumedicalcollege306.edu.in,1991,MBBS|MD|MS|BDS
Bidar Medical College 307,Bidar,Medical,37,3.8,703344,"Medical college in Bidar, Karnataka",https://bidarmedicalcollege307.edu.in,,info@bidarmedicalcollege307.edu.in,1994,MBBS|MD|MS|BDS
Chikkamagaluru Degree College 308,Chikkamagaluru,Degree,402,3.7,231043,"Degree college in Chikkamagaluru, Karnataka",https://chikkamagalurudegreecollege308.edu.in,,info@chikkamagalurudegreecollege308.edu.in,1993,BA|BSc|BCom|BBA|BCA
Davangere Medical College 309,Davangere,Medical,30,4.0,1066256,"Medical college in Davangere, Karnataka",https://davangeremedicalcollege309.edu.in,,info@davangeremedicalcollege309.edu.in,2012,MBBS|MD|MS|BDS
Dharwad PU College 310,Dharwad,PU,81,4.5,963947,"PU college in Dharwad, Karnataka",https://dharwadpucollege310.edu.in,,info@dharwadpucollege310.edu.in,1994,PUC Science|Commerce|Arts
Chitradurga Degree College 311,Chitradurga,Degree,71,4.2,37822,"Degree college in Chitradurga, Karnataka",https://chitradurgadegreecollege311.edu.in,,info@chitradurgadegreecollege311.edu.in,2013,BA|BSc|BCom|BBA|BCA
Bengaluru Urban PU College 312,Bengaluru Urban,PU,36,4.2,150810,"PU college in Bengaluru Urban, Karnataka",https://bengaluruurbanpucollege312.edu.in,,info@bengaluruurbanpucollege312.edu.in,1999,PUC Science|Commerce|Arts
Mysuru PU College 313,Mysuru,PU,379,4.9,638633,"PU college in Mysuru, Karnataka",https://mysurupucollege313.edu.in,,info@mysurupucollege313.edu.in,1979,PUC Science|Commerce|Arts
Davangere PU College 314,Davangere,PU,224,3.9,950779,"PU college in Davangere, Karnataka",https://davangerepucollege314.edu.in,,info@davangerepucollege314.edu.in,1963,PUC Science|Commerce|Arts
Mysuru Engineering College 315,Mysuru,Engineering,370,4.2,1359530,"Engineering college in Mysuru, Karnataka",https://mysuruengineeringcollege315.edu.in,,info@mysuruengineeringcollege315.edu.in,2005,CSE|ECE|ME|Civil|AI|DS
Hassan PU College 316,Hassan,PU,156,3.9,1049312,"PU college in Hassan, Karnataka",https://hassanpucollege316.edu.in,,info@hassanpucollege316.edu.in,2020,PUC Science|Commerce|Arts
Ballari PU College 317,Ballari,PU,168,4.3,910897,"PU college in Ballari, Karnataka",https://ballaripucollege317.edu.in,,info@ballaripucollege317.edu.in,2014,PUC Science|Commerce|Arts
Davangere Engineering College 318,Davangere,Engineering,447,4.6,1349867,"Engineering college in Davangere, Karnataka",https://davangereengineeringcollege318.edu.in,,info@davangereengineeringcollege318.edu.in,1967,CSE|ECE|ME|Civil|AI|DS
Bidar Medical College 319,Bidar,Medical,254,4.0,299132,"Medical college in Bidar, Karnataka",https://bidarmedicalcollege319.edu.in,,info@bidarmedicalcollege319.edu.in,2001,MBBS|MD|MS|BDS
Bidar Degree College 320,Bidar,Degree,175,4.6,773481,"Degree college in Bidar, Karnataka",https://bidardegreecollege320.edu.in,,info@bidardegreecollege320.edu.in,2005,BA|BSc|BCom|BBA|BCA
Chitradurga Degree College 321,Chitradurga,Degree,444,3.9,1219316,"Degree college in Chitradurga, Karnataka",https://chitradurgadegreecollege321.edu.in,,info@chitradurgadegreecollege321.edu.in,2011,BA|BSc|BCom|BBA|BCA
Bengaluru Urban PU College 322,Bengaluru Urban,PU,432,4.0,1374652,"PU college in Bengaluru Urban, Karnataka",https://bengaluruurbanpucollege322.edu.in,,info@bengaluruurbanpucollege322.edu.in,1955,PUC Science|Commerce|Arts
Davangere Medical College 323,Davangere,Medical,321,3.8,1439106,"Medical college in Davangere, Karnataka",https://davangeremedicalcollege323.edu.in,,info@davangeremedicalcollege323.edu.in,2006,MBBS|MD|MS|BDS
Bidar Medical College 324,Bidar,Medical,162,4.8,475455,"Medical college in Bidar, Karnataka",https://bidarmedicalcollege324.edu.in,,info@bidarmedicalcollege324.edu.in,2022,MBBS|MD|MS|BDS
Ballari PU College 325,Ballari,PU,344,3.5,994743,"PU college in Ballari, Karnataka",https://ballaripucollege325.edu.in,,info@ballaripucollege325.edu.in,2009,PUC Science|Commerce|Arts
Koppal PU College 326,Koppal,PU,289,4.8,142668,"PU college in Koppal, Karnataka",https://koppalpucollege326.edu.in,,info@koppalpucollege326.edu.in,2015,PUC Science|Commerce|Arts
Udupi Engineering College 327,Udupi,Engineering,114,3.9,1209473,"Engineering college in Udupi, Karnataka",https://udupiengineeringcollege327.edu.in,,info@udupiengineeringcollege327.edu.in,2002,CSE|ECE|ME|Civil|AI|DS
Hassan Engineering College 328,Hassan,Engineering,19,4.1,293949,"Engineering college in Hassan, Karnataka",https://hassanengineeringcollege328.edu.in,,info@hassanengineeringcollege328.edu.in,2002,CSE|ECE|ME|Civil|AI|DS
Kalaburagi Medical College 329,Kalaburagi,Medical,330,3.9,444794,"Medical college in Kalaburagi, Karnataka",https://kalaburagimedicalcollege329.edu.in,,info@kalaburagimedicalcollege329.edu.in,1967,MBBS|MD|MS|BDS
Dakshina Kannada Engineering College 330,Dakshina Kannada,Engineering,278,4.5,433143,"Engineering college in Dakshina Kannada, Karnataka",https://dakshinakannadaengineeringcollege330.edu.in,,info@dakshinakannadaengineeringcollege330.edu.in,2013,CSE|ECE|ME|Civil|AI|DS
Chitradurga PU College 331,Chitradurga,PU,185,3.9,200050,"PU college in Chitradurga, Karnataka",https://chitradurgapucollege331.edu.in,,info@chitradurgapucollege331.edu.in,1994,PUC Science|Commerce|Arts
Koppal Degree College 332,Koppal,Degree,379,4.1,1491715,"Degree college in Koppal, Karnataka",https://koppaldegreecollege332.edu.in,,info@koppaldegreecollege332.edu.in,1973,BA|BSc|BCom|BBA|BCA
Ballari Degree College 333,Ballari,Degree,443,4.6,779579,"Degree college in Ballari, Karnataka",https://ballaridegreecollege333.edu.in,,info@ballaridegreecollege333.edu.in,2002,BA|BSc|BCom|BBA|BCA
Udupi Medical College 334,Udupi,Medical,267,4.3,573909,"Medical college in Udupi, Karnataka",https://udupimedicalcollege334.edu.in,,info@udupimedicalcollege334.edu.in,1988,MBBS|MD|MS|BDS
Bidar Engineering College 335,Bidar,Engineering,219,4.2,980083,"Engineering college in Bidar, Karnataka",https://bidarengineeringcollege335.edu.in,,info@bidarengineeringcollege335.edu.in,2006,CSE|ECE|ME|Civil|AI|DS
Ballari Medical College 336,Ballari,Medical,305,3.7,1324608,"Medical college in Ballari, Karnataka",https://ballarimedicalcollege336.edu.in,,info@ballarimedicalcollege336.edu.in,1989,MBBS|MD|MS|BDS
Dakshina Kannada Engineering College 337,Dakshina Kannada,Engineering,291,4.4,558909,"Engineering college in Dakshina Kannada, Karnataka",https://dakshinakannadaengineeringcollege337.edu.in,,info@dakshinakannadaengineeringcollege337.edu.in,1971,CSE|ECE|ME|Civil|AI|DS
Tumakuru Degree College 338,Tumakuru,Degree,41,4.2,1100884,"Degree college in Tumakuru, Karnataka",https://tumakurudegreecollege338.edu.in,,info@tumakurudegreecollege338.edu.in,2013,BA|BSc|BCom|BBA|BCA
Chikkamagaluru Medical College 339,Chikkamagaluru,Medical,28,4.3,1414701,"Medical college in Chikkamagaluru, Karnataka",https://chikkamagalurumedicalcollege339.edu.in,,info@chikkamagalurumedicalcollege339.edu.in,1958,MBBS|MD|MS|BDS
Belagavi Degree College 340,Belagavi,Degree,140,4.8,1217226,"Degree college in Belagavi, Karnataka",https://belagavidegreecollege340.edu.in,,info@belagavidegreecollege340.edu.in,1960,BA|BSc|BCom|BBA|BCA
Udupi Degree College 341,Udupi,Degree,226,4.6,1199726,"Degree college in Udupi, Karnataka",https://udupidegreecollege341.edu.in,,info@udupidegreecollege341.edu.in,2013,BA|BSc|BCom|BBA|BCA
Dakshina Kannada PU College 342,Dakshina Kannada,PU,343,4.3,750628,"PU college in Dakshina Kannada, Karnataka",https://dakshinakannadapucollege342.edu.in,,info@dakshinakannadapucollege342.edu.in,1972,PUC Science|Commerce|Arts
Mandya Engineering College 343,Mandya,Engineering,423,4.8,526306,"Engineering college in Mandya, Karnataka",https://mandyaengineeringcollege343.edu.in,,info@mandyaengineeringcollege343.edu.in,1958,CSE|ECE|ME|Civil|AI|DS
Mandya Engineering College 344,Mandya,Engineering,320,4.4,82832,"Engineering college in Mandya, Karnataka",https://mandyaengineeringcollege344.edu.in,,info@mandyaengineeringcollege344.edu.in,1976,CSE|ECE|ME|Civil|AI|DS
Udupi Engineering College 345,Udupi,Engineering,332,4.6,311362,"Engineering college in Udupi, Karnataka",https://udupiengineeringcollege345.edu.in,,info@udupiengineeringcollege345.edu.in,1987,CSE|ECE|ME|Civil|AI|DS
Shivamogga PU College 346,Shivamogga,PU,51,4.0,358623,"PU college in Shivamogga, Karnataka",https://shivamoggapucollege346.edu.in,,info@shivamoggapucollege346.edu.in,1990,PUC Science|Commerce|Arts
Shivamogga Engineering College 347,Shivamogga,Engineering,369,3.6,1276683,"Engineering college in Shivamogga, Karnataka",https://shivamoggaengineeringcollege347.edu.in,,info@shivamoggaengineeringcollege347.edu.in,1952,CSE|ECE|ME|Civil|AI|DS
Chitradurga Degree College 348,Chitradurga,Degree,83,4.1,1293648,"Degree college in Chitradurga, Karnataka",https://chitradurgadegreecollege348.edu.in,,info@chitradurgadegreecollege348.edu.in,2014,BA|BSc|BCom|BBA|BCA
Dakshina Kannada Engineering College 349,Dakshina Kannada,Engineering,484,4.2,528453,"Engineering college in Dakshina Kannada, Karnataka",https://dakshinakannadaengineeringcollege349.edu.in,,info@dakshinakannadaengineeringcollege349.edu.in,1969,CSE|ECE|ME|Civil|AI|DS
Raichur PU College 350,Raichur,PU,225,4.9,912399,"PU college in Raichur, Karnataka",https://raichurpucollege350.edu.in,,info@raichurpucollege350.edu.in,2004,PUC Science|Commerce|Arts
Bengaluru Urban Degree College 351,Bengaluru Urban,Degree,306,3.7,793518,"Degree college in Bengaluru Urban, Karnataka",https://bengaluruurbandegreecollege351.edu.in,,info@bengaluruurbandegreecollege351.edu.in,2021,BA|BSc|BCom|BBA|BCA
Bidar Medical College 352,Bidar,Medical,222,4.4,110917,"Medical college in Bidar, Karnataka",https://bidarmedicalcollege352.edu.in,,info@bidarmedicalcollege352.edu.in,2004,MBBS|MD|MS|BDS
Belagavi Medical College 353,Belagavi,Medical,377,3.8,1364357,"Medical college in Belagavi, Karnataka",https://belagavimedicalcollege353.edu.in,,info@belagavimedicalcollege353.edu.in,2021,MBBS|MD|MS|BDS
Mandya Medical College 354,Mandya,Medical,379,4.4,945927,"Medical college in Mandya, Karnataka",https://mandyamedicalcollege354.edu.in,,info@mandyamedicalcollege354.edu.in,1989,MBBS|MD|MS|BDS
Chitradurga Medical College 355,Chitradurga,Medical,85,3.8,993812,"Medical college in Chitradurga, Karnataka",https://chitradurgamedicalcollege355.edu.in,,info@chitradurgamedicalcollege355.edu.in,1968,MBBS|MD|MS|BDS
Raichur Engineering College 356,Raichur,Engineering,27,4.3,1495626,"Engineering college in Raichur, Karnataka",https://raichurengineeringcollege356.edu.in,,info@raichurengineeringcollege356.edu.in,1982,CSE|ECE|ME|Civil|AI|DS
Bengaluru Urban Engineering College 357,Bengaluru Urban,Engineering,113,3.6,666673,"Engineering college in Bengaluru Urban, Karnataka",https://bengaluruurbanengineeringcollege357.edu.in,,info@bengaluruurbanengineeringcollege357.edu.in,1972,CSE|ECE|ME|Civil|AI|DS
Tumakuru Medical College 358,Tumakuru,Medical,221,4.2,511007,"Medical college in Tumakuru, Karnataka",https://tumakurumedicalcollege358.edu.in,,info@tumakurumedicalcollege358.edu.in,2020,MBBS|MD|MS|BDS
Shivamogga PU College 359,Shivamogga,PU,490,4.4,819003,"PU college in Shivamogga, Karnataka",https://shivamoggapucollege359.edu.in,,info@shivamoggapucollege359.edu.in,1955,PUC Science|Commerce|Arts
Shivamogga PU College 360,Shivamogga,PU,362,4.6,478055,"PU college in Shivamogga, Karnataka",https://shivamoggapucollege360.edu.in,,info@shivamoggapucollege360.edu.in,1962,PUC Science|Commerce|Arts
Koppal Degree College 361,Koppal,Degree,84,4.5,1117086,"Degree college in Koppal, Karnataka",https://koppaldegreecollege361.edu.in,,info@koppaldegreecollege361.edu.in,1955,BA|BSc|BCom|BBA|BCA
Davangere Engineering College 362,Davangere,Engineering,31,4.3,1413803,"Engineering college in Davangere, Karnataka",https://davangereengineeringcollege362.edu.in,,info@davangereengineeringcollege362.edu.in,1991,CSE|ECE|ME|Civil|AI|DS
